Res,Round,Delta_t,Zeit Per Frame
0,0,1.605936050415039,0.008921866946750217
0,1,1.6519649028778076,0.009177582793765598
0,2,1.6566848754882812,0.009203804863823785
0,3,1.6578750610351562,0.009210417005750869
0,4,1.706752061843872,0.009481955899132623
0,5,1.6444780826568604,0.009135989348093669
0,6,1.657761812210083,0.009209787845611573
0,7,1.6462619304656982,0.009145899613698324
0,8,1.6228020191192627,0.009015566772884794
0,9,1.677253007888794,0.009318072266048855
,,durchschnittliche Zeit per frame,0.009182094335556031
1,0,4.51913595199585,0.025106310844421387
1,1,4.535177946090698,0.025195433033837214
1,2,4.497042894363403,0.02498357163535224
